Project ID,Client ID,Service Type,Project Cost (GHS),Duration (Days),Client Satisfaction (1-5),Repeat Client,Completion Status
86,5073,Data Analytics,"32,000.00",48,4,No,Completed
88,5074,IT Infrastructure,"43,000.00",58,2,No,Completed
89,5075,Cybersecurity Audit,"23,500.00",29,5,Yes,In Progress
90,5076,Cloud Migration,"37,000.00",45,4,No,Completed
91,5077,IT Support Package,"17,500.00",16,4,Yes,Delayed
92,5078,Website Development,"13,500.00",28,3,No,In Progress
93,5079,Data Analytics,"33,000.00",50,5,Yes,Completed
95,5080,IT Infrastructure,"44,000.00",60,3,Yes,Completed
96,5081,Cybersecurity Audit,"24,500.00",31,2,No,In Progress
97,5082,Cloud Migration,"38,000.00",48,5,Yes,Completed
98,5083,IT Support Package,"18,500.00",17,4,No,Delayed
99,5084,Website Development,"14,000.00",30,3,Yes,In Progress
100,5085,Data Analytics,"34,000.00",52,4,No,Completed
